Protein ID,H1975_TGFb_Rep1_1,H1975_TGFb_Rep1_2,H1975_TGFb_Rep2_1,H1975_TGFb_Rep2_2,H1975_TGFb_Rep3_1,H1975_TGFb_Rep3_2,H1975_unst_Rep1_1,H1975_unst_Rep1_2,H1975_unst_Rep2_1,H1975_unst_Rep2_2,H1975_unst_Rep3_1,H1975_unst_Rep3_2,H838_TGFb_Rep1_1,H838_TGFb_Rep1_2,H838_TGFb_Rep2_1,H838_TGFb_Rep2_2,H838_TGFb_Rep3_1,H838_TGFb_Rep3_2,H838_unst_Rep1_1,H838_unst_Rep1_2,H838_unst_Rep2_1,H838_unst_Rep2_2,H838_unst_Rep3_1,H838_unst_Rep3_2
Q96A33,454422688.0,508206368.0,477406560.0,511152608.0,512574144.0,475193728.0,410896672.0,485769952.0,537029820.0,483573856.0,514308960.0,519039936.0,388688512.0,316551040.0,349919136.0,395187904.0,400210720.0,376051968.0,349748192.0,309451296.0,318555040.0,348524960.0,322577728.0,335139072.0
P11055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495460032.0,482680352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P12883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541928960.0,556405120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9UKX3,2520906750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2526305790.0,2527025410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q14980,163527968.0,147401488.0,140894192.0,134882448.0,148692560.0,168676688.0,209900640.0,213895024.0,190752048.0,182435120.0,194320912.0,198839904.0,335910624.0,295817792.0,283649888.0,308500608.0,323407040.0,326892256.0,290364768.0,282492864.0,322297568.0,344784672.0,325304064.0,315605920.0
Q8WUM0,213541744.0,221490944.0,221159792.0,221789360.0,203279984.0,211015456.0,221312048.0,221124416.0,246780336.0,214708064.0,210170800.0,241238912.0,223790240.0,228591328.0,264423968.0,260168192.0,214417696.0,242246672.0,258785536.0,267542032.0,266205600.0,254887904.0,284054464.0,250925616.0
Q9ULV0,0.0,0.0,62724648.0,0.0,0.0,54803076.0,0.0,116572880.0,80961480.0,70089568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q15003,149023648.0,170622656.0,168187888.0,151722544.0,181540224.0,179445136.0,185448016.0,180242432.0,201942032.0,223999280.0,177137984.0,214987488.0,109701912.0,124703544.0,107163848.0,116458112.0,126015392.0,138422768.0,128035936.0,116691576.0,123068064.0,109288472.0,113032688.0,141049616.0
Q15008,617562050.0,669668030.0,513344000.0,521599168.0,636342020.0,664685440.0,911570880.0,875010180.0,660849730.0,691753470.0,728940030.0,657089220.0,859522110.0,859775420.0,753814340.0,759160130.0,881238980.0,861826370.0,808259390.0,756753340.0,759050620.0,804046340.0,775714820.0,859325630.0
P25685,441200352.0,423836928.0,436281952.0,410806080.0,449932288.0,461018848.0,541654460.0,583287230.0,459165344.0,491767840.0,512165664.0,482398656.0,375097024.0,403001120.0,366026784.0,446189696.0,407272544.0,389872544.0,430478080.0,444102784.0,377377408.0,393985024.0,393744032.0,356419232.0
Q9UBS4,342821184.0,316085536.0,352831456.0,326623584.0,315990208.0,337443168.0,402454240.0,348222912.0,354785184.0,356067168.0,320664128.0,369010304.0,308771040.0,289862976.0,306484128.0,353395616.0,323155616.0,304169920.0,319647168.0,290406944.0,301396256.0,316494656.0,275141120.0,284460864.0
Q15021,201510032.0,194541072.0,217329088.0,239924608.0,201279600.0,207262400.0,203306416.0,202372176.0,225844992.0,221816448.0,197750720.0,227885408.0,102563256.0,116903776.0,139945200.0,129444224.0,118553288.0,134357856.0,141851728.0,166355680.0,151728816.0,135128048.0,145397072.0,139971056.0
Q15024,182075168.0,169824656.0,191689296.0,156817744.0,176436432.0,162395952.0,161422720.0,164855936.0,212919920.0,196499136.0,171008064.0,206546640.0,156645232.0,127643736.0,158149488.0,150138880.0,165971712.0,154105536.0,126982584.0,173581136.0,175063936.0,162204080.0,169848224.0,166915536.0
Q15031,109926368.0,85984088.0,110712856.0,107142904.0,101620504.0,110170792.0,106455768.0,90635320.0,105051280.0,96681480.0,121011320.0,116910680.0,92657704.0,59461408.0,82736896.0,78345328.0,64152628.0,72753912.0,70015728.0,88287736.0,74980576.0,66474032.0,76478744.0,72608880.0
Q15046,1574423810.0,1593076480.0,1539171710.0,1587431940.0,1564544380.0,1501415680.0,1424070270.0,1386501250.0,1651520380.0,1602372740.0,1579865860.0,1493333500.0,2202085120.0,2024498690.0,1812485120.0,1871277180.0,2106952450.0,2004553470.0,1886407550.0,1829411580.0,1880672770.0,2086180990.0,1733979900.0,2099179140.0
Q15075,253830768.0,212159264.0,223691648.0,185888992.0,191009920.0,221979136.0,197199008.0,224068656.0,289405632.0,280799040.0,217183920.0,197007728.0,854071740.0,686173630.0,654509120.0,678980740.0,693248770.0,711773760.0,611599680.0,598031740.0,623386110.0,736242940.0,652747390.0,659708100.0
Q15149,2401020420.0,2397090820.0,2297788670.0,2269412610.0,2375833340.0,2391634690.0,1864999810.0,1891885440.0,1872738560.0,1877803520.0,2042325120.0,1938316670.0,2458751490.0,2365743100.0,2279829500.0,2384506370.0,2621245700.0,2602117380.0,2291834110.0,2264645630.0,2285981950.0,2533550590.0,2223753730.0,2380861950.0
P12035,18794395600.0,16786212900.0,23868942300.0,24963383300.0,17447954400.0,17778927600.0,18137126900.0,29975742500.0,19185094700.0,16386347000.0,14403219500.0,10764163100.0,12440768500.0,12069280800.0,17700415500.0,13271307300.0,10767435800.0,9666490400.0,8254594600.0,7877582800.0,6536537600.0,7796308500.0,6006451200.0,7180042200.0
